name,chemontid,level,SUBCLASS,CHEMONT_STRING,CLASS_STRING
Homogeneous metal compounds,CHEMONTID:0000422,2,CHEMONTID:0000001,CHEMONTID:0000001;CHEMONTID:0000422,Inorganic compounds;Homogeneous metal compounds
"Lignans, neolignans and related compounds",CHEMONTID:0001392,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0001392,"Organic compounds;Lignans, neolignans and related compounds"
"Organic 1,3-dipolar compounds",CHEMONTID:0003630,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0003630,"Organic compounds;Organic 1,3-dipolar compounds"
Homogeneous non-metal compounds,CHEMONTID:0000423,2,CHEMONTID:0000001,CHEMONTID:0000001;CHEMONTID:0000423,Inorganic compounds;Homogeneous non-metal compounds
Organic salts,CHEMONTID:0003865,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0003865,Organic compounds;Organic salts
Organoheterocyclic compounds,CHEMONTID:0000002,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0000002,Organic compounds;Organoheterocyclic compounds
Hydrocarbon derivatives,CHEMONTID:0004150,2,CHEMONTID:0000000,CHEMONTID:0000000;CHEMONTID:0004150,Organic compounds;Hydrocarbon derivatives
Flavin nucleotides,CHEMONTID:0001329,3,CHEMONTID:0000289,CHEMONTID:0000000;CHEMONTID:0000289;CHEMONTID:0001329,"Organic compounds;Nucleosides, nucleotides, and analogues;Flavin nucleotides"
Purine nucleotides,CHEMONTID:0001506,3,CHEMONTID:0000289,CHEMONTID:0000000;CHEMONTID:0000289;CHEMONTID:0001506,"Organic compounds;Nucleosides, nucleotides, and analogues;Purine nucleotides"
Rhoeadine alkaloids,CHEMONTID:0002658,3,CHEMONTID:0000279,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0002658,Organic compounds;Alkaloids and derivatives;Rhoeadine alkaloids
Homogeneous alkaline earth metal compounds,CHEMONTID:0000428,3,CHEMONTID:0000422,CHEMONTID:0000001;CHEMONTID:0000422;CHEMONTID:0000428,Inorganic compounds;Homogeneous metal compounds;Homogeneous alkaline earth metal compounds
Oxadiazines,CHEMONTID:0004736,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0004736,Organic compounds;Organoheterocyclic compounds;Oxadiazines
Brevetoxins and derivatives,CHEMONTID:0001304,3,CHEMONTID:0000261,CHEMONTID:0000000;CHEMONTID:0000261;CHEMONTID:0001304,Organic compounds;Phenylpropanoids and polyketides;Brevetoxins and derivatives
Organic iodide salts,CHEMONTID:0003932,3,CHEMONTID:0003865,CHEMONTID:0000000;CHEMONTID:0003865;CHEMONTID:0003932,Organic compounds;Organic salts;Organic iodide salts
Epibatidine analogues,CHEMONTID:0001493,3,CHEMONTID:0000279,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0001493,Organic compounds;Alkaloids and derivatives;Epibatidine analogues
Furofurans,CHEMONTID:0001816,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001816,Organic compounds;Organoheterocyclic compounds;Furofurans
Azoles,CHEMONTID:0000436,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000436,Organic compounds;Organoheterocyclic compounds;Azoles
Loline alkaloids and derivatives,CHEMONTID:0002656,3,CHEMONTID:0000279,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0002656,Organic compounds;Alkaloids and derivatives;Loline alkaloids and derivatives
Pyranopyridines,CHEMONTID:0002111,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002111,Organic compounds;Organoheterocyclic compounds;Pyranopyridines
"1-hydroxylamino, 2-unsubstituted benzenoids",CHEMONTID:0004648,3,CHEMONTID:0002448,CHEMONTID:0000000;CHEMONTID:0002448;CHEMONTID:0004648,"Organic compounds;Benzenoids;1-hydroxylamino, 2-unsubstituted benzenoids"
Sulfonimidamides,CHEMONTID:0003154,3,CHEMONTID:0000004,CHEMONTID:0000000;CHEMONTID:0000004;CHEMONTID:0003154,Organic compounds;Organosulfur compounds;Sulfonimidamides
Triazines,CHEMONTID:0000098,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000098,Organic compounds;Organoheterocyclic compounds;Triazines
Thiazepines,CHEMONTID:0000068,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000068,Organic compounds;Organoheterocyclic compounds;Thiazepines
Aryltetralin lignans,CHEMONTID:0003425,3,CHEMONTID:0001392,CHEMONTID:0000000;CHEMONTID:0001392;CHEMONTID:0003425,"Organic compounds;Lignans, neolignans and related compounds;Aryltetralin lignans"
Macroline alkaloids,CHEMONTID:0003759,3,CHEMONTID:0000279,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0003759,Organic compounds;Alkaloids and derivatives;Macroline alkaloids
Isocoumarans,CHEMONTID:0004191,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0004191,Organic compounds;Organoheterocyclic compounds;Isocoumarans
Cycloheptathiophenes,CHEMONTID:0002338,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002338,Organic compounds;Organoheterocyclic compounds;Cycloheptathiophenes
Proaporphines,CHEMONTID:0002660,3,CHEMONTID:0000279,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0002660,Organic compounds;Alkaloids and derivatives;Proaporphines
Imidazopiperidines,CHEMONTID:0002627,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002627,Organic compounds;Organoheterocyclic compounds;Imidazopiperidines
Intermetallic alkali metal compounds,CHEMONTID:0001360,3,CHEMONTID:0000422,CHEMONTID:0000001;CHEMONTID:0000422;CHEMONTID:0001360,Inorganic compounds;Homogeneous metal compounds;Intermetallic alkali metal compounds
Indolonaphthyridine alkaloids,CHEMONTID:0003805,3,CHEMONTID:0000279,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0003805,Organic compounds;Alkaloids and derivatives;Indolonaphthyridine alkaloids
Carbodithiolactones,CHEMONTID:0003878,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0003878,Organic compounds;Organoheterocyclic compounds;Carbodithiolactones
Organic dithiophosphoric acids and derivatives,CHEMONTID:0003385,3,CHEMONTID:0000264,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0003385,Organic compounds;Organic acids and derivatives;Organic dithiophosphoric acids and derivatives
Borinic acid derivatives,CHEMONTID:0003219,3,CHEMONTID:0000264,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0003219,Organic compounds;Organic acids and derivatives;Borinic acid derivatives
Molybdopterin dinucleotides,CHEMONTID:0003654,3,CHEMONTID:0000289,CHEMONTID:0000000;CHEMONTID:0000289;CHEMONTID:0003654,"Organic compounds;Nucleosides, nucleotides, and analogues;Molybdopterin dinucleotides"
Oxathianes,CHEMONTID:0001889,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001889,Organic compounds;Organoheterocyclic compounds;Oxathianes
Carbotelluroic acids and derivatives,CHEMONTID:0003128,3,CHEMONTID:0000264,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0003128,Organic compounds;Organic acids and derivatives;Carbotelluroic acids and derivatives
Intermetallic metalloid compounds,CHEMONTID:0001452,3,CHEMONTID:0000422,CHEMONTID:0000001;CHEMONTID:0000422;CHEMONTID:0001452,Inorganic compounds;Homogeneous metal compounds;Intermetallic metalloid compounds
Pyrrolopyrimidines,CHEMONTID:0001799,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001799,Organic compounds;Organoheterocyclic compounds;Pyrrolopyrimidines
"Carbene-type 1,3-dipolar compounds",CHEMONTID:0003632,3,CHEMONTID:0003630,CHEMONTID:0000000;CHEMONTID:0003630;CHEMONTID:0003632,"Organic compounds;Organic 1,3-dipolar compounds;Carbene-type 1,3-dipolar compounds"
Imidoyl halides,CHEMONTID:0002870,3,CHEMONTID:0000267,CHEMONTID:0000000;CHEMONTID:0000267;CHEMONTID:0002870,Organic compounds;Organohalogen compounds;Imidoyl halides
Polystyrenes,CHEMONTID:0003299,3,CHEMONTID:0003297,CHEMONTID:0000000;CHEMONTID:0003297;CHEMONTID:0003299,Organic compounds;Organic Polymers;Polystyrenes
Vinylogous acids,CHEMONTID:0003889,3,CHEMONTID:0000264,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0003889,Organic compounds;Organic acids and derivatives;Vinylogous acids
Halohydrins,CHEMONTID:0002528,3,CHEMONTID:0000267,CHEMONTID:0000000;CHEMONTID:0000267;CHEMONTID:0002528,Organic compounds;Organohalogen compounds;Halohydrins
Carboperoxoselenoic acids,CHEMONTID:0003165,3,CHEMONTID:0000264,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0003165,Organic compounds;Organic acids and derivatives;Carboperoxoselenoic acids
Cinnamic acids and derivatives,CHEMONTID:0000476,3,CHEMONTID:0000261,CHEMONTID:0000000;CHEMONTID:0000261;CHEMONTID:0000476,Organic compounds;Phenylpropanoids and polyketides;Cinnamic acids and derivatives
Aryl halides,CHEMONTID:0002866,3,CHEMONTID:0000267,CHEMONTID:0000000;CHEMONTID:0000267;CHEMONTID:0002866,Organic compounds;Organohalogen compounds;Aryl halides
"Pyrazolo[3,4-d]pyrimidine glycosides",CHEMONTID:0003750,3,CHEMONTID:0000289,CHEMONTID:0000000;CHEMONTID:0000289;CHEMONTID:0003750,"Organic compounds;Nucleosides, nucleotides, and analogues;Pyrazolo[3,4-d]pyrimidine glycosides"
Bi- and oligothiophenes,CHEMONTID:0002021,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002021,Organic compounds;Organoheterocyclic compounds;Bi- and oligothiophenes
Sulfonohydrazonimidic acids,CHEMONTID:0003118,3,CHEMONTID:0000264,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0003118,Organic compounds;Organic acids and derivatives;Sulfonohydrazonimidic acids
Homogeneous lanthanide compounds,CHEMONTID:0000429,3,CHEMONTID:0000422,CHEMONTID:0000001;CHEMONTID:0000422;CHEMONTID:0000429,Inorganic compounds;Homogeneous metal compounds;Homogeneous lanthanide compounds
Fatty Acyls,CHEMONTID:0003909,3,CHEMONTID:0000012,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0003909,Organic compounds;Lipids and lipid-like molecules;Fatty Acyls
Saccharolipids,CHEMONTID:0003918,3,CHEMONTID:0000012,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0003918,Organic compounds;Lipids and lipid-like molecules;Saccharolipids
Phenylpropanoic acids,CHEMONTID:0002551,3,CHEMONTID:0000261,CHEMONTID:0000000;CHEMONTID:0000261;CHEMONTID:0002551,Organic compounds;Phenylpropanoids and polyketides;Phenylpropanoic acids
Thiatriazoles,CHEMONTID:0002561,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002561,Organic compounds;Organoheterocyclic compounds;Thiatriazoles
Diazirines,CHEMONTID:0002691,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002691,Organic compounds;Organoheterocyclic compounds;Diazirines
Azaspirodecane derivatives,CHEMONTID:0000130,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000130,Organic compounds;Organoheterocyclic compounds;Azaspirodecane derivatives
Sphingolipids,CHEMONTID:0000257,3,CHEMONTID:0000012,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0000257,Organic compounds;Lipids and lipid-like molecules;Sphingolipids
Carbothioic O-acids,CHEMONTID:0003108,3,CHEMONTID:0000264,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0003108,Organic compounds;Organic acids and derivatives;Carbothioic O-acids
Cyclic allenes,CHEMONTID:0001679,3,CHEMONTID:0000016,CHEMONTID:0000000;CHEMONTID:0000016;CHEMONTID:0001679,Organic compounds;Allenes;Cyclic allenes
Strictosidine alkaloids,CHEMONTID:0003791,3,CHEMONTID:0000279,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0003791,Organic compounds;Alkaloids and derivatives;Strictosidine alkaloids
Stilbenolignans,CHEMONTID:0003495,3,CHEMONTID:0001392,CHEMONTID:0000000;CHEMONTID:0001392;CHEMONTID:0003495,"Organic compounds;Lignans, neolignans and related compounds;Stilbenolignans"
Sulfinyl compounds,CHEMONTID:0003130,3,CHEMONTID:0000004,CHEMONTID:0000000;CHEMONTID:0000004;CHEMONTID:0003130,Organic compounds;Organosulfur compounds;Sulfinyl compounds
Oxanes,CHEMONTID:0002012,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002012,Organic compounds;Organoheterocyclic compounds;Oxanes
Akageran and related alkaloids,CHEMONTID:0003754,3,CHEMONTID:0000279,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0003754,Organic compounds;Alkaloids and derivatives;Akageran and related alkaloids
Piperidinylpyridines,CHEMONTID:0001730,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001730,Organic compounds;Organoheterocyclic compounds;Piperidinylpyridines
Tropones,CHEMONTID:0001650,3,CHEMONTID:0004150,CHEMONTID:0000000;CHEMONTID:0004150;CHEMONTID:0001650,Organic compounds;Hydrocarbon derivatives;Tropones
Transition metal organides,CHEMONTID:0000461,3,CHEMONTID:0000424,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000461,Inorganic compounds;Mixed metal/non-metal compounds;Transition metal organides
Selenanthrenes,CHEMONTID:0003696,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0003696,Organic compounds;Organoheterocyclic compounds;Selenanthrenes
Quebrachamine alkaloids,CHEMONTID:0002757,3,CHEMONTID:0000279,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0002757,Organic compounds;Alkaloids and derivatives;Quebrachamine alkaloids
"Imidazo[2,1-c][1,2,4]triazines",CHEMONTID:0004380,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0004380,"Organic compounds;Organoheterocyclic compounds;Imidazo[2,1-c][1,2,4]triazines"
Transition metal oxoanionic compounds,CHEMONTID:0000450,3,CHEMONTID:0000424,CHEMONTID:0000001;CHEMONTID:0000424;CHEMONTID:0000450,Inorganic compounds;Mixed metal/non-metal compounds;Transition metal oxoanionic compounds
"Pyrrolo[3,4-d]pyridazines",CHEMONTID:0003770,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0003770,"Organic compounds;Organoheterocyclic compounds;Pyrrolo[3,4-d]pyridazines"
"Imidazo[1,2-a]pyrazin-8-ones",CHEMONTID:0004376,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0004376,"Organic compounds;Organoheterocyclic compounds;Imidazo[1,2-a]pyrazin-8-ones"
Carbothioic S-lactones,CHEMONTID:0003873,3,CHEMONTID:0000264,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0003873,Organic compounds;Organic acids and derivatives;Carbothioic S-lactones
Alkyl halides,CHEMONTID:0002867,3,CHEMONTID:0000267,CHEMONTID:0000000;CHEMONTID:0000267;CHEMONTID:0002867,Organic compounds;Organohalogen compounds;Alkyl halides
Organoarsinous acid esters,CHEMONTID:0004247,3,CHEMONTID:0000264,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0004247,Organic compounds;Organic acids and derivatives;Organoarsinous acid esters
Polyureas,CHEMONTID:0003300,3,CHEMONTID:0003297,CHEMONTID:0000000;CHEMONTID:0003297;CHEMONTID:0003300,Organic compounds;Organic Polymers;Polyureas
Furopyrroles,CHEMONTID:0001918,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0001918,Organic compounds;Organoheterocyclic compounds;Furopyrroles
Stilbenes,CHEMONTID:0000253,3,CHEMONTID:0000261,CHEMONTID:0000000;CHEMONTID:0000261;CHEMONTID:0000253,Organic compounds;Phenylpropanoids and polyketides;Stilbenes
S-alkyl-CoAs,CHEMONTID:0003440,3,CHEMONTID:0000012,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0003440,Organic compounds;Lipids and lipid-like molecules;S-alkyl-CoAs
Benzene and substituted derivatives,CHEMONTID:0002279,3,CHEMONTID:0002448,CHEMONTID:0000000;CHEMONTID:0002448;CHEMONTID:0002279,Organic compounds;Benzenoids;Benzene and substituted derivatives
Thioethers,CHEMONTID:0001202,3,CHEMONTID:0000004,CHEMONTID:0000000;CHEMONTID:0000004;CHEMONTID:0001202,Organic compounds;Organosulfur compounds;Thioethers
Dioxepines,CHEMONTID:0002939,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002939,Organic compounds;Organoheterocyclic compounds;Dioxepines
Nitronic acids,CHEMONTID:0002538,3,CHEMONTID:0000264,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0002538,Organic compounds;Organic acids and derivatives;Nitronic acids
Pyridodiazepines,CHEMONTID:0002782,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002782,Organic compounds;Organoheterocyclic compounds;Pyridodiazepines
Thioureas,CHEMONTID:0001209,3,CHEMONTID:0000004,CHEMONTID:0000000;CHEMONTID:0000004;CHEMONTID:0001209,Organic compounds;Organosulfur compounds;Thioureas
Kavalactones,CHEMONTID:0001761,3,CHEMONTID:0000261,CHEMONTID:0000000;CHEMONTID:0000261;CHEMONTID:0001761,Organic compounds;Phenylpropanoids and polyketides;Kavalactones
Melodinus alkaloids,CHEMONTID:0003761,3,CHEMONTID:0000279,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0003761,Organic compounds;Alkaloids and derivatives;Melodinus alkaloids
Aminosulfonodithioyl compounds,CHEMONTID:0003139,3,CHEMONTID:0000004,CHEMONTID:0000000;CHEMONTID:0000004;CHEMONTID:0003139,Organic compounds;Organosulfur compounds;Aminosulfonodithioyl compounds
Anatoxins,CHEMONTID:0001465,3,CHEMONTID:0000279,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0001465,Organic compounds;Alkaloids and derivatives;Anatoxins
Allyl sulfur compounds,CHEMONTID:0004195,3,CHEMONTID:0000004,CHEMONTID:0000000;CHEMONTID:0000004;CHEMONTID:0004195,Organic compounds;Organosulfur compounds;Allyl sulfur compounds
Flavonolignans,CHEMONTID:0001844,3,CHEMONTID:0001392,CHEMONTID:0000000;CHEMONTID:0001392;CHEMONTID:0001844,"Organic compounds;Lignans, neolignans and related compounds;Flavonolignans"
Metal acetylides,CHEMONTID:0004566,3,CHEMONTID:0004478,CHEMONTID:0000000;CHEMONTID:0004478;CHEMONTID:0004566,Organic compounds;Acetylides;Metal acetylides
Haloacetylenes and derivatives,CHEMONTID:0004565,3,CHEMONTID:0000267,CHEMONTID:0000000;CHEMONTID:0000267;CHEMONTID:0004565,Organic compounds;Organohalogen compounds;Haloacetylenes and derivatives
Trialkylphosphites,CHEMONTID:0004484,3,CHEMONTID:0000400,CHEMONTID:0000000;CHEMONTID:0000400;CHEMONTID:0004484,Organic compounds;Organophosphorus compounds;Trialkylphosphites
Pyridopyrazines,CHEMONTID:0004405,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0004405,Organic compounds;Organoheterocyclic compounds;Pyridopyrazines
Azolidines,CHEMONTID:0002491,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002491,Organic compounds;Organoheterocyclic compounds;Azolidines
Inorganic phosphorotrithioic acids and derivatives,CHEMONTID:0001569,3,CHEMONTID:0001568,CHEMONTID:0000001;CHEMONTID:0001568;CHEMONTID:0001569,Inorganic compounds;Miscellaneous inorganic compounds;Inorganic phosphorotrithioic acids and derivatives
Vinca alkaloids,CHEMONTID:0002756,3,CHEMONTID:0000279,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0002756,Organic compounds;Alkaloids and derivatives;Vinca alkaloids
Organonitrogen compounds,CHEMONTID:0000278,3,CHEMONTID:0004707,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278,Organic compounds;Organic nitrogen compounds;Organonitrogen compounds
Thiochromanes,CHEMONTID:0002834,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002834,Organic compounds;Organoheterocyclic compounds;Thiochromanes
Telluric acids and derivatives,CHEMONTID:0002480,3,CHEMONTID:0000264,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0002480,Organic compounds;Organic acids and derivatives;Telluric acids and derivatives
Organic azides,CHEMONTID:0000126,3,CHEMONTID:0003865,CHEMONTID:0000000;CHEMONTID:0003865;CHEMONTID:0000126,Organic compounds;Organic salts;Organic azides
Triazolothiazoles,CHEMONTID:0002124,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002124,Organic compounds;Organoheterocyclic compounds;Triazolothiazoles
Furanoid lignans,CHEMONTID:0003686,3,CHEMONTID:0001392,CHEMONTID:0000000;CHEMONTID:0001392;CHEMONTID:0003686,"Organic compounds;Lignans, neolignans and related compounds;Furanoid lignans"
Curan alkaloids,CHEMONTID:0001783,3,CHEMONTID:0000279,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0001783,Organic compounds;Alkaloids and derivatives;Curan alkaloids
Azepanes,CHEMONTID:0000307,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000307,Organic compounds;Organoheterocyclic compounds;Azepanes
Thietes,CHEMONTID:0000360,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0000360,Organic compounds;Organoheterocyclic compounds;Thietes
Benzothiadiazoles,CHEMONTID:0002323,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0002323,Organic compounds;Organoheterocyclic compounds;Benzothiadiazoles
Inorganic thalium compounds,CHEMONTID:0004540,3,CHEMONTID:0001568,CHEMONTID:0000001;CHEMONTID:0001568;CHEMONTID:0004540,Inorganic compounds;Miscellaneous inorganic compounds;Inorganic thalium compounds
Non-metal oxoanionic compounds,CHEMONTID:0000435,3,CHEMONTID:0000423,CHEMONTID:0000001;CHEMONTID:0000423;CHEMONTID:0000435,Inorganic compounds;Homogeneous non-metal compounds;Non-metal oxoanionic compounds
Harmala alkaloids,CHEMONTID:0001140,3,CHEMONTID:0000279,CHEMONTID:0000000;CHEMONTID:0000279;CHEMONTID:0001140,Organic compounds;Alkaloids and derivatives;Harmala alkaloids
Inorganic nitrides,CHEMONTID:0004470,3,CHEMONTID:0001568,CHEMONTID:0000001;CHEMONTID:0001568;CHEMONTID:0004470,Inorganic compounds;Miscellaneous inorganic compounds;Inorganic nitrides
6-Thiathiophenes,CHEMONTID:0004236,3,CHEMONTID:0000002,CHEMONTID:0000000;CHEMONTID:0000002;CHEMONTID:0004236,Organic compounds;Organoheterocyclic compounds;6-Thiathiophenes
Thioselenides,CHEMONTID:0004163,3,CHEMONTID:0000004,CHEMONTID:0000000;CHEMONTID:0000004;CHEMONTID:0004163,Organic compounds;Organosulfur compounds;Thioselenides
