#Scan#	Adduct	CAS_Number	Charge	Compound_Name	Compound_Source	Data_Collector	ExactMass	FileScanUniqueID	INCHI	INCHI_AUX	Instrument	IonMode	Ion_Source	LibMZ	LibraryName	LibraryQualityString	Library_Class	MQScore	MZErrorPPM	MassDiff	NumberHits	Organism	PI	Precursor_MZ	Pubmed_ID	RT_Query	SharedPeaks	Smiles	SpecCharge	SpecMZ	SpectrumFile	SpectrumID	TIC_Query	UpdateWorkflowName	tags	internalFilename
1650	M+H	 	      58-08-2	1	Caffeine	Isolated	 	194.08	spectra/specs_ms.mgf1650	1S/C8H10N4O2/c1-10-4-9-6-5(10)7(13)12(3)8(14)11(6)2/h4H,1-3H3	 	Orbitrap	Positive	LC-ESI	195.087	lib-00012.mgf	Bronze	3	0.979646	4.0672	0.000793457	1	GNPS-LIBRARY	Najla Moufarreg	195.087	2519	0	8	CN1C=NC2=C1C(=O)N(C(=O)N2C)C	1	195.088	spectra/specs_ms.mgf	CCMSLIB00003142435	5.43528e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	195.088
4898	[M+H]+	N/A	1	MassbankEU:SM871201 2-Hydroxybenzothiazole|Benzothiazolone|3H-1,3-benzothiazol-2-one	Isolated	Massbank	0.0	spectra/specs_ms.mgf4898	1S/C7H5NOS/c9-7-8-5-3-1-2-4-6(5)10-7/h1-4H,(H,8,9)	N/A	LC-ESI-QFT	Positive	ESI	152.016	lib-00011.mgf	Bronze	3	0.988821	3.91467	0.000595093	1	MASSBANKEU	Massbank EU	152.016	N/A	0	7	O=C1NC2=C(S1)C=CC=C2	1	152.017	specs_ms.mgf	CCMSLIB00000841993	4.59475e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
2218	M+H	134623	1	Diethyltoluamide	Isolated	NIST	0.0	spectra/specs_ms.mgf2218	InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3	N/A	HCD	Positive	ESI	192.138	lib-00034.mgf	Bronze	3	0.988685	1.0324	0.000198364	1	NIST17	NIST	192.138	N/A	0	4	CCN(CC)C(=O)C1=CC(=CC=C1)C	1	192.139	specs_ms.mgf	CCMSLIB00003315310	1.7891e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
20704	M+H	4792158	1	Pentaethylene glycol	Isolated	NIST	0.0	spectra/specs_ms.mgf20704	InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2	N/A	HCD	Positive	ESI	239.149	lib-00034.mgf	Bronze	3	0.988684	1.21229	0.000289917	1	NIST17	NIST	239.149	N/A	0	8	C(COCCOCCOCCOCCO)O	1	239.149	specs_ms.mgf	CCMSLIB00003440922	1.08805e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
801	M+H-C4H8	119515387	1	Icaridin	Isolated	NIST	0.0	spectra/specs_ms.mgf801	InChI=1S/C12H23NO3/c1-3-10(2)16-12(15)13-8-5-4-6-11(13)7-9-14/h10-11,14H,3-9H2,1-2H3	N/A	HCD	Positive	ESI	174.113	lib-00034.mgf	Bronze	3	0.988651	1.13929	0.000198364	1	NIST17	NIST	174.113	N/A	0	6	CCC(C)OC(=O)N1CCCCC1CCO	1	174.113	specs_ms.mgf	CCMSLIB00003708853	5.03141e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
7308	M+H	81130	1	Spectral Match to Dexpanthenol from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.mgf7308	N/A	N/A	HCD	Positive	ESI	206.139	lib-00030.mgf	Bronze	3	0.988483	0	0	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	206.139	N/A	0	18	N/A	1	206.139	specs_ms.mgf	CCMSLIB00003135881	2.77499e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
21	M+H	134623	1	Diethyltoluamide	Isolated	NIST	0.0	spectra/specs_ms.mgf21	InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3	N/A	HCD	Positive	ESI	192.138	lib-00034.mgf	Bronze	3	0.988452	0.476494	9.15527e-05	1	NIST17	NIST	192.138	N/A	0	4	CCN(CC)C(=O)C1=CC(=CC=C1)C	1	192.138	specs_ms.mgf	CCMSLIB00003315310	1.44301e+08	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1498	M+H	101837	1	Dicyclohexylamine	Isolated	NIST	0.0	spectra/specs_ms.mgf1498	InChI=1S/C12H23N/c1-3-7-11(8-4-1)13-12-9-5-2-6-10-12/h11-13H,1-10H2	N/A	HCD	Positive	ESI	182.19	lib-00034.mgf	Bronze	3	0.988148	1.08878	0.000198364	1	NIST17	NIST	182.19	N/A	0	4	C1CCC(CC1)NC2CCCCC2	1	182.191	specs_ms.mgf	CCMSLIB00003564420	3.29907e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
147	M+H	112607	1	Tetraethylene glycol	Isolated	NIST	0.0	spectra/specs_ms.mgf147	InChI=1S/C8H18O5/c9-1-3-11-5-7-13-8-6-12-4-2-10/h9-10H,1-8H2	N/A	HCD	Positive	ESI	195.123	lib-00034.mgf	Bronze	3	0.98718	0	0	1	NIST17	NIST	195.123	N/A	0	7	C(COCCOCCOCCO)O	1	195.123	specs_ms.mgf	CCMSLIB00003441001	7.08963e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1623	M+H	84742	1	Spectral Match to Dibutyl phthalate from NIST14	Isolated	Data deposited by negarg	0.0	spectra/specs_ms.mgf1623	N/A	N/A	QqQ	Positive	ESI	279.159	lib-00030.mgf	Bronze	3	0.986408	0	0	1	GNPS-NIST14-MATCHES	Data from Pieter C Dorrestein	279.159	N/A	0	6	N/A	1	279.159	specs_ms.mgf	CCMSLIB00003135580	1.41353e+08	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
18787	M+H	4792158	1	Pentaethylene glycol	Isolated	NIST	0.0	spectra/specs_ms.mgf18787	InChI=1S/C10H22O6/c11-1-3-13-5-7-15-9-10-16-8-6-14-4-2-12/h11-12H,1-10H2	N/A	HCD	Positive	ESI	239.149	lib-00034.mgf	Bronze	3	0.985893	0.829459	0.000198364	1	NIST17	NIST	239.149	N/A	0	8	C(COCCOCCOCCOCCO)O	1	239.149	specs_ms.mgf	CCMSLIB00003440922	4.22238e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
12994	M+H	N/A	0	DODECAHYDRO-8''-HYDROXY-1'',2'(5'H)-FURAN-5',5''-[5H-1,4A](METHANOXYMETHANO)NAPHTHALEN]-2,9''-DIONE	Isolated	N/A	0.0	spectra/specs_ms.mgf12994	N/A	N/A	LC-ESI-QTOF	Positive-0eV	LC-ESI	365.196	lib-00031.mgf	Bronze	3	0.985035	1.50417	0.000549316	1	METLIN	Metlin	365.196	N/A	0	4	N/A	1	365.196	specs_ms.mgf	CCMSLIB00000507927	1.56536e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
495	M+H	2387237	1	1,3-Dicyclohexylurea	Isolated	NIST	0.0	spectra/specs_ms.mgf495	InChI=1S/C13H24N2O/c16-13(14-11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h11-12H,1-10H2,(H2,14,15,16)	N/A	HCD	Positive	ESI	225.196	lib-00034.mgf	Bronze	3	0.984824	1.7617	0.000396729	1	NIST17	NIST	225.196	N/A	0	4	C1CCC(CC1)NC(=O)NC2CCCCC2	1	225.197	specs_ms.mgf	CCMSLIB00003265562	1.02329e+08	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1367	M+H	1067987	1	Tri(3-chloropropyl) phosphate	Isolated	NIST	0.0	spectra/specs_ms.mgf1367	InChI=1S/C9H18Cl3O4P/c10-4-1-7-14-17(13,15-8-2-5-11)16-9-3-6-12/h1-9H2	N/A	HCD	Positive	ESI	327.008	lib-00034.mgf	Bronze	3	0.983954	0.653265	0.000213623	1	NIST17	NIST	327.008	N/A	0	5	C(COP(=O)(OCCCCl)OCCCCl)CCl	1	327.008	specs_ms.mgf	CCMSLIB00003663337	4.7617e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
12152	M+H	2387237	1	1,3-Dicyclohexylurea	Isolated	NIST	0.0	spectra/specs_ms.mgf12152	InChI=1S/C13H24N2O/c16-13(14-11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h11-12H,1-10H2,(H2,14,15,16)	N/A	HCD	Positive	ESI	225.196	lib-00034.mgf	Bronze	3	0.982699	1.7617	0.000396729	1	NIST17	NIST	225.196	N/A	0	4	C1CCC(CC1)NC(=O)NC2CCCCC2	1	225.197	specs_ms.mgf	CCMSLIB00003265562	484448	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1376	M+H	134623	1	Diethyltoluamide	Isolated	NIST	0.0	spectra/specs_ms.mgf1376	InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3	N/A	HCD	Positive	ESI	192.138	lib-00034.mgf	Bronze	3	0.982548	1.0324	0.000198364	1	NIST17	NIST	192.138	N/A	0	4	CCN(CC)C(=O)C1=CC(=CC=C1)C	1	192.139	specs_ms.mgf	CCMSLIB00003315309	1.15915e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
8869	[M+H]+	2008-58-4	1	Massbank:EA008504 2,6-Dichlorobenzamide|2,6-bis(chloranyl)benzamide	Isolated	Massbank	0.0	spectra/specs_ms.mgf8869	1S/C7H5Cl2NO/c8-4-2-1-3-5(9)6(4)7(10)11/h1-3H,(H2,10,11)	N/A	LC-ESI-ITFT	Positive	ESI	189.982	lib-00003.mgf	Bronze	3	0.981558	1.60634	0.000305176	1	MASSBANK	Putative Massbank Match	189.982	N/A	0	5	ClC1=C(C(N)=O)C(Cl)=CC=C1	1	189.982	specs_ms.mgf	CCMSLIB00000206580	5.86564e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
18068	[M+H]+	28291-75-0	1	MassbankEU:SM884701 N-Cyclohexyl-2-benzothiazol-amine|N-cyclohexyl-1,3-benzothiazol-2-amine	Isolated	Massbank	0.0	spectra/specs_ms.mgf18068	1S/C13H16N2S/c1-2-6-10(7-3-1)14-13-15-11-8-4-5-9-12(11)16-13/h4-5,8-10H,1-3,6-7H2,(H,14,15)	N/A	LC-ESI-QFT	Positive	ESI	233.111	lib-00011.mgf	Bronze	3	0.981298	5.17112	0.00120544	1	MASSBANKEU	Massbank EU	233.111	N/A	0	6	C1CCC(CC1)NC1=NC2=CC=CC=C2S1	1	233.112	specs_ms.mgf	CCMSLIB00000842098	1.22208e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
10623	M+H	 	1	Loliolide	Crude	Daniel Petras	0.0	spectra/specs_ms.mgf10623	 	 	Orbitrap	Positive	LC-ESI	197.117	lib-00012.mgf	Bronze	3	0.980921	2.01266	0.000396729	1	GNPS-LIBRARY	Lihini Aluwihare	197.117	 	0	47	CC1(CC(CC2(C1=CC(=O)O2)C)O)C	1	197.117	specs_ms.mgf	CCMSLIB00004680136	1.02953e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
2968	M+H	3386183	1	Spectral Match to Nonaethylene glycol from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.mgf2968	N/A	N/A	QqQ	Positive	ESI	415.254	lib-00030.mgf	Bronze	3	0.980477	13.008	0.00540161	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	415.254	N/A	0	17	N/A	1	415.249	specs_ms.mgf	CCMSLIB00003137287	5.20412e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
286	M+H	3386183	1	Spectral Match to Nonaethylene glycol from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.mgf286	N/A	N/A	QqQ	Positive	ESI	415.254	lib-00030.mgf	Bronze	3	0.980477	0.955388	0.000396729	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	415.254	N/A	0	17	N/A	1	415.254	specs_ms.mgf	CCMSLIB00003137287	5.20412e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
14673	M+H	3386183	1	Spectral Match to Nonaethylene glycol from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.mgf14673	N/A	N/A	QqQ	Positive	ESI	415.254	lib-00030.mgf	Bronze	3	0.980477	2.86616	0.00119019	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	415.254	N/A	0	17	N/A	1	415.255	specs_ms.mgf	CCMSLIB00003137287	5.20412e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1043	M+H	84662	1	Spectral Match to Diethyl phthalate from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.mgf1043	N/A	N/A	QqQ	Positive	ESI	223.097	lib-00030.mgf	Bronze	3	0.979248	0.478767	0.000106812	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	223.097	N/A	0	13	N/A	1	223.097	specs_ms.mgf	CCMSLIB00003139894	7.3762e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
18445	M+H	443721	1	N6-Methyladenine	Isolated	NIST	0.0	spectra/specs_ms.mgf18445	InChI=1S/C6H7N5/c1-7-5-4-6(10-2-8-4)11-3-9-5/h2-3H,1H3,(H2,7,8,9,10,11)	N/A	Q-TOF	Positive	ESI	150.077	lib-00034.mgf	Bronze	3	0.979107	0	0	1	NIST17	NIST	150.077	N/A	0	4	CNC1=NC=NC2=C1NC=N2	1	150.077	specs_ms.mgf	CCMSLIB00003201622	1.31862e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
9990	M+NH4	5581328	1	Bisphenol A bis(2,3-dihydroxypropyl) ether	Isolated	NIST	0.0	spectra/specs_ms.mgf9990	InChI=1S/C21H28O6/c1-21(2,15-3-7-19(8-4-15)26-13-17(24)11-22)16-5-9-20(10-6-16)27-14-18(25)12-23/h3-10,17-18,22-25H,11-14H2,1-2H3	N/A	HCD	Positive	ESI	394.222	lib-00034.mgf	Bronze	3	0.978966	0.464473	0.000183105	1	NIST17	NIST	394.222	N/A	0	4	CC(C)(C1=CC=C(C=C1)OCC(CO)O)C2=CC=C(C=C2)OCC(CO)O	1	394.223	specs_ms.mgf	CCMSLIB00003271461	1.1225e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
18462	M+H	134623	1	Diethyltoluamide	Isolated	NIST	0.0	spectra/specs_ms.mgf18462	InChI=1S/C12H17NO/c1-4-13(5-2)12(14)11-8-6-7-10(3)9-11/h6-9H,4-5H2,1-3H3	N/A	HCD	Positive	ESI	192.138	lib-00034.mgf	Bronze	3	0.978809	1.0324	0.000198364	1	NIST17	NIST	192.138	N/A	0	4	CCN(CC)C(=O)C1=CC(=CC=C1)C	1	192.139	specs_ms.mgf	CCMSLIB00003315310	841176	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
11315	M+H	61541	1	Tryptamine	Isolated	NIST	0.0	spectra/specs_ms.mgf11315	InChI=1S/C10H12N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6,11H2	N/A	Q-TOF	Positive	ESI	161.107	lib-00034.mgf	Bronze	3	0.978348	1.23126	0.000198364	1	NIST17	NIST	161.107	N/A	0	5	C1=CC=C2C(=C1)C(=CN2)CCN	1	161.107	specs_ms.mgf	CCMSLIB00003190690	9.58393e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1629	M+H	102078	1	Carbanilide	Isolated	NIST	0.0	spectra/specs_ms.mgf1629	InChI=1S/C13H12N2O/c16-13(14-11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h1-10H,(H2,14,15,16)	N/A	HCD	Positive	ESI	213.102	lib-00034.mgf	Bronze	3	0.977543	1.36046	0.000289917	1	NIST17	NIST	213.102	N/A	0	6	C1=CC=C(C=C1)NC(=O)NC2=CC=CC=C2	1	213.102	specs_ms.mgf	CCMSLIB00003641844	5.69823e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
10928	2M+H	301020	1	Spectral Match to 9-Octadecenamide, (Z)- from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.mgf10928	N/A	N/A	QqQ	Positive	ESI	563.552	lib-00030.mgf	Bronze	3	0.977354	0.216609	0.00012207	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	563.552	N/A	0	58	N/A	1	563.552	specs_ms.mgf	CCMSLIB00003137784	7.68589e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
20489	M+H	150301	1	Spectral Match to DL-Phenylalanine from NIST14	Isolated	Data deposited by daniel	0.0	spectra/specs_ms.mgf20489	N/A	N/A	QqQ	Positive	ESI	166.086	lib-00030.mgf	Bronze	3	0.975185	3.0318	0.00050354	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	166.086	N/A	0	16	N/A	1	166.087	specs_ms.mgf	CCMSLIB00003137138	7.0887e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
11626	M+H	938556	1	Spectral Match to 1H-Purin-6-amine, N,N-dimethyl- from NIST14	Isolated	Data deposited by lfnothias	0.0	spectra/specs_ms.mgf11626	N/A	N/A	QqQ	Positive	ESI	164.093	lib-00030.mgf	Bronze	3	0.974882	1.20885	0.000198364	1	GNPS-NIST14-MATCHES	Data from Pieter Dorrestein	164.093	N/A	0	8	N/A	1	164.093	specs_ms.mgf	CCMSLIB00003135873	3.83963e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
1064	M+H-C2H6O	84662	1	Spectral Match to Diethyl phthalate from NIST14	Isolated	Data deposited by marjo	0.0	spectra/specs_ms.mgf1064	N/A	N/A	QqQ	Positive	ESI	177.055	lib-00030.mgf	Bronze	3	0.974494	1.12035	0.000198364	1	GNPS-NIST14-MATCHES	Data from Maria Maansson	177.055	N/A	0	6	N/A	1	177.055	specs_ms.mgf	CCMSLIB00003139560	3.85038e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
4238	M+H	2387237	1	1,3-Dicyclohexylurea	Isolated	NIST	0.0	spectra/specs_ms.mgf4238	InChI=1S/C13H24N2O/c16-13(14-11-7-3-1-4-8-11)15-12-9-5-2-6-10-12/h11-12H,1-10H2,(H2,14,15,16)	N/A	HCD	Positive	ESI	225.196	lib-00034.mgf	Bronze	3	0.974349	1.7617	0.000396729	1	NIST17	NIST	225.196	N/A	0	4	C1CCC(CC1)NC(=O)NC2CCCCC2	1	225.197	specs_ms.mgf	CCMSLIB00003265562	5.59204e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
17012	M+H	58731	1	Diphenhydramine	Isolated	NIST	0.0	spectra/specs_ms.mgf17012	InChI=1S/C17H21NO/c1-18(2)13-14-19-17(15-9-5-3-6-10-15)16-11-7-4-8-12-16/h3-12,17H,13-14H2,1-2H3	N/A	IT-FT/ion trap with FTMS	Positive	ESI	256.17	lib-00034.mgf	Bronze	3	0.973945	0.476521	0.00012207	1	NIST17	NIST	256.17	N/A	0	5	CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2	1	256.17	specs_ms.mgf	CCMSLIB00003371081	8.08397e+06	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
3224	M+H-H2O	31753192	1	Prostaglandin A2 methyl ester	Isolated	NIST	0.0	spectra/specs_ms.mgf3224	InChI=1S/C21H32O4/c1-3-4-7-10-18(22)15-13-17-14-16-20(23)19(17)11-8-5-6-9-12-21(24)25-2/h5,8,13-19,22H,3-4,6-7,9-12H2,1-2H3/b8-5-,15-13+/t17-,18-,19+/m0/s1	N/A	HCD	Positive	ESI	331.227	lib-00034.mgf	Bronze	3	0.973461	0.92135	0.000305176	1	NIST17	NIST	331.227	N/A	0	171	CCCCCC(C=CC1C=CC(=O)C1CC=CCCCC(=O)OC)O	1	331.227	specs_ms.mgf	CCMSLIB00003332179	2.89309e+07	UPDATE-SINGLE-ANNOTATED-BRONZE	 	specs_ms.mgf
